variable,ID,strain,media,condition,biorep,techrep,expt
12,trmB+25mM ribose,trmB,HhCa,25mM ribose,1,3,2020_sugar2
13,WT+none,WT,HhCa,none,2,1,2020_sugar2
14,trmB+25mM fructose,trmB,HhCa,25mM fructose,1,2,2020_sugar2
15,trmB+25mM xylose,trmB,HhCa,25mM xylose,1,2,2020_sugar2
16,WT+25mM pyruvate,WT,HhCa,25mM pyruvate,2,1,2020_sugar2
17,WT+25mM glucose,WT,HhCa,25mM glucose,1,1,2020_sugar2
18,trmB+none,trmB,HhCa,none,1,3,2020_sugar2
19,WT+25mM xylose,WT,HhCa,25mM xylose,2,2,2020_sugar2
22,WT+25mM ribose,WT,HhCa,25mM ribose,2,2,2020_sugar2
23,trmB+25mM ribose,trmB,HhCa,25mM ribose,2,2,2020_sugar2
24,trmB+25mM fructose,trmB,HhCa,25mM fructose,1,3,2020_sugar2
25,WT+25mM glycerol,WT,HhCa,25mM glycerol,2,2,2020_sugar2
26,WT+none,WT,HhCa,none,1,2,2020_sugar2
27,WT+25mM xylose,WT,HhCa,25mM xylose,2,1,2020_sugar2
28,WT+25mM glucose,WT,HhCa,25mM glucose,1,2,2020_sugar2
29,trmB+25mM xylose,trmB,HhCa,25mM xylose,2,1,2020_sugar2
32,WT+25mM glucose,WT,HhCa,25mM glucose,2,1,2020_sugar2
33,trmB+25mM glucose,trmB,HhCa,25mM glucose,2,1,2020_sugar2
34,WT+25mM acetate,WT,HhCa,25mM acetate,1,1,2020_sugar2
35,WT+none,WT,HhCa,none,2,3,2020_sugar2
36,trmB+25mM fructose,trmB,HhCa,25mM fructose,2,3,2020_sugar2
37,WT+25mM pyruvate,WT,HhCa,25mM pyruvate,1,2,2020_sugar2
38,WT+none,WT,HhCa,none,1,3,2020_sugar2
39,WT+25mM sucrose,WT,HhCa,25mM sucrose,2,1,2020_sugar2
42,WT+25mM xylose,WT,HhCa,25mM xylose,1,1,2020_sugar2
43,trmB+25mM fructose,trmB,HhCa,25mM fructose,2,2,2020_sugar2
44,trmB+none,trmB,HhCa,none,2,3,2020_sugar2
45,WT+25mM galactose,WT,HhCa,25mM galactose,2,1,2020_sugar2
46,WT+25mM fructose,WT,HhCa,25mM fructose,2,2,2020_sugar2
47,trmB+none,trmB,HhCa,none,1,2,2020_sugar2
48,trmB+25mM galactose,trmB,HhCa,25mM galactose,1,3,2020_sugar2
49,trmB+25mM xylose,trmB,HhCa,25mM xylose,1,1,2020_sugar2
52,WT+25mM sucrose,WT,HhCa,25mM sucrose,1,1,2020_sugar2
53,WT+25mM pyruvate,WT,HhCa,25mM pyruvate,1,1,2020_sugar2
54,trmB+25mM acetate,trmB,HhCa,25mM acetate,1,1,2020_sugar2
55,WT+25mM galactose,WT,HhCa,25mM galactose,1,2,2020_sugar2
56,trmB+25mM galactose,trmB,HhCa,25mM galactose,2,1,2020_sugar2
57,WT+25mM pyruvate,WT,HhCa,25mM pyruvate,2,2,2020_sugar2
58,trmB+25mM ribose,trmB,HhCa,25mM ribose,1,2,2020_sugar2
59,WT+25mM pyruvate,WT,HhCa,25mM pyruvate,1,3,2020_sugar2
62,trmB+25mM sucrose,trmB,HhCa,25mM sucrose,1,3,2020_sugar2
63,WT+25mM pyruvate,WT,HhCa,25mM pyruvate,2,3,2020_sugar2
