variable,ID,strain,media,condition,biorep,techrep,expt
12,trmB+25mM ribose,trmB,CDM,25mM ribose,1,3,2021_sugar1_hbt
13,WT+none,WT,CDM,none,2,1,2021_sugar1_hbt
14,trmB+25mM fructose,trmB,CDM,25mM fructose,1,2,2021_sugar1_hbt
15,trmB+25mM xylose,trmB,CDM,25mM xylose,1,2,2021_sugar1_hbt
16,WT+25mM pyruvate,WT,CDM,25mM pyruvate,2,1,2021_sugar1_hbt
17,WT+25mM glucose,WT,CDM,25mM glucose,1,1,2021_sugar1_hbt
18,trmB+none,trmB,CDM,none,1,3,2021_sugar1_hbt
19,WT+25mM xylose,WT,CDM,25mM xylose,2,2,2021_sugar1_hbt
22,WT+25mM ribose,WT,CDM,25mM ribose,2,2,2021_sugar1_hbt
23,trmB+25mM ribose,trmB,CDM,25mM ribose,2,2,2021_sugar1_hbt
24,trmB+25mM fructose,trmB,CDM,25mM fructose,1,3,2021_sugar1_hbt
25,WT+25mM glycerol,WT,CDM,25mM glycerol,2,2,2021_sugar1_hbt
26,WT+none,WT,CDM,none,1,2,2021_sugar1_hbt
27,WT+25mM xylose,WT,CDM,25mM xylose,2,1,2021_sugar1_hbt
28,WT+25mM glucose,WT,CDM,25mM glucose,1,2,2021_sugar1_hbt
29,trmB+25mM xylose,trmB,CDM,25mM xylose,2,1,2021_sugar1_hbt
32,WT+25mM glucose,WT,CDM,25mM glucose,2,1,2021_sugar1_hbt
33,trmB+25mM glucose,trmB,CDM,25mM glucose,2,1,2021_sugar1_hbt
34,WT+25mM acetate,WT,CDM,25mM acetate,1,1,2021_sugar1_hbt
35,WT+none,WT,CDM,none,2,3,2021_sugar1_hbt
36,trmB+25mM fructose,trmB,CDM,25mM fructose,2,3,2021_sugar1_hbt
37,WT+25mM pyruvate,WT,CDM,25mM pyruvate,1,2,2021_sugar1_hbt
38,WT+none,WT,CDM,none,1,3,2021_sugar1_hbt
39,WT+25mM sucrose,WT,CDM,25mM sucrose,2,1,2021_sugar1_hbt
42,WT+25mM xylose,WT,CDM,25mM xylose,1,1,2021_sugar1_hbt
43,trmB+25mM fructose,trmB,CDM,25mM fructose,2,2,2021_sugar1_hbt
44,trmB+none,trmB,CDM,none,2,3,2021_sugar1_hbt
45,WT+25mM galactose,WT,CDM,25mM galactose,2,1,2021_sugar1_hbt
46,WT+25mM fructose,WT,CDM,25mM fructose,2,2,2021_sugar1_hbt
47,trmB+none,trmB,CDM,none,1,2,2021_sugar1_hbt
48,trmB+25mM galactose,trmB,CDM,25mM galactose,1,3,2021_sugar1_hbt
49,trmB+25mM xylose,trmB,CDM,25mM xylose,1,1,2021_sugar1_hbt
52,WT+25mM sucrose,WT,CDM,25mM sucrose,1,1,2021_sugar1_hbt
53,WT+25mM pyruvate,WT,CDM,25mM pyruvate,1,1,2021_sugar1_hbt
54,trmB+25mM acetate,trmB,CDM,25mM acetate,1,1,2021_sugar1_hbt
55,WT+25mM galactose,WT,CDM,25mM galactose,1,2,2021_sugar1_hbt
56,trmB+25mM galactose,trmB,CDM,25mM galactose,2,1,2021_sugar1_hbt
57,WT+25mM pyruvate,WT,CDM,25mM pyruvate,2,2,2021_sugar1_hbt
58,trmB+25mM ribose,trmB,CDM,25mM ribose,1,2,2021_sugar1_hbt
59,WT+25mM pyruvate,WT,CDM,25mM pyruvate,1,3,2021_sugar1_hbt
62,trmB+25mM sucrose,trmB,CDM,25mM sucrose,1,3,2021_sugar1_hbt
63,WT+25mM pyruvate,WT,CDM,25mM pyruvate,2,3,2021_sugar1_hbt
64,trmB+25mM fructose,trmB,CDM,25mM fructose,2,1,2021_sugar1_hbt
65,trmB+25mM galactose,trmB,CDM,25mM galactose,2,2,2021_sugar1_hbt
66,WT+25mM galactose,WT,CDM,25mM galactose,2,3,2021_sugar1_hbt
67,trmB+none,trmB,CDM,none,2,1,2021_sugar1_hbt
68,trmB+25mM fructose,trmB,CDM,25mM fructose,1,1,2021_sugar1_hbt
69,trmB+25mM glycerol,trmB,CDM,25mM glycerol,2,1,2021_sugar1_hbt
72,trmB+none,trmB,CDM,none,1,4,2021_sugar1_hbt
73,trmB+25mM pyruvate,trmB,CDM,25mM pyruvate,1,3,2021_sugar1_hbt
74,WT+none,WT,CDM,none,1,4,2021_sugar1_hbt
75,trmB+25mM pyruvate,trmB,CDM,25mM pyruvate,2,2,2021_sugar1_hbt
76,trmB+25mM sucrose,trmB,CDM,25mM sucrose,1,1,2021_sugar1_hbt
77,trmB+25mM glycerol,trmB,CDM,25mM glycerol,1,1,2021_sugar1_hbt
78,WT+25mM sucrose,WT,CDM,25mM sucrose,1,2,2021_sugar1_hbt
79,WT+25mM fructose,WT,CDM,25mM fructose,2,1,2021_sugar1_hbt
82,trmB+25mM sucrose,trmB,CDM,25mM sucrose,1,2,2021_sugar1_hbt
83,WT+25mM acetate,WT,CDM,25mM acetate,2,2,2021_sugar1_hbt
84,WT+25mM acetate,WT,CDM,25mM acetate,2,1,2021_sugar1_hbt
85,WT+25mM glycerol,WT,CDM,25mM glycerol,1,2,2021_sugar1_hbt
86,trmB+25mM pyruvate,trmB,CDM,25mM pyruvate,2,3,2021_sugar1_hbt
87,WT+25mM sucrose,WT,CDM,25mM sucrose,2,3,2021_sugar1_hbt
88,trmB+25mM sucrose,trmB,CDM,25mM sucrose,2,1,2021_sugar1_hbt
89,WT+none,WT,CDM,none,1,5,2021_sugar1_hbt
112,WT+25mM acetate,WT,CDM,25mM acetate,2,3,2021_sugar1_hbt
113,WT+none,WT,CDM,none,1,6,2021_sugar1_hbt
114,trmB+25mM ribose,trmB,CDM,25mM ribose,1,1,2021_sugar1_hbt
115,trmB+none,trmB,CDM,none,2,2,2021_sugar1_hbt
116,WT+25mM galactose,WT,CDM,25mM galactose,1,3,2021_sugar1_hbt
117,WT+25mM galactose,WT,CDM,25mM galactose,1,1,2021_sugar1_hbt
118,WT+25mM fructose,WT,CDM,25mM fructose,2,3,2021_sugar1_hbt
