trmB:mGlu,trmB:pGlu,WT:mGlu,WT:pGlu,cluster,locus_tag,baseMean,log2FoldChange,padj,old_locus_tag,annotation
1.3690069264153806,-0.8520174730023655,0.20927015823171466,-0.7262596116447306,1,HAH_RS00025,10474.388795982864,-0.1144345141718903,1,HAH_0005,O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase
1.420384797278862,-0.8931889083410235,-0.4133372299883964,-0.11385865894944487,1,HAH_RS00040,10544.447344769344,0.05566668543457936,1,HAH_0008,ATP-dependent DNA helicase
1.4159466914818872,-0.7547162514274204,0.08139956810891448,-0.7426300081633841,1,HAH_RS00045,565.4449061541136,-0.04403708876890731,1,HAH_0009,hypothetical protein
1.437321102675554,-0.8030556603894623,1.7920845386495965e-4,-0.6344446507399566,1,HAH_RS00060,5947.500797514903,-0.05527974555260523,1,HAH_0012,helix-turn-helix domain-containing protein
1.453265130771198,-0.7897811449804616,-0.45181436628875404,-0.2116696195019823,1,HAH_RS00090,5085.915978074342,0.13601943839856986,1,HAH_0019,radical SAM protein
1.4449350145333575,-0.7145431198453955,-0.02009861393000864,-0.7102932807579538,1,HAH_RS00095,134.35979155373485,-0.01701949700445013,NA,HAH_0020,tetracycline resistance MFS efflux pump
1.3502873134047424,-0.5230556074534634,-0.8650003402064291,0.03776863425515255,1,HAH_RS00110,6297.9214948047975,0.2033844596475114,1,HAH_0022,DUF373 family protein
1.3657846012199697,-0.7876085897586399,-0.6553779682875824,0.07720195682625043,1,HAH_RS00115,1441.2591741258332,0.09956258596271726,1,HAH_0023,hypothetical protein
1.4790762901224557,-0.6487467111664391,-0.1919175043600314,-0.6384120745959854,1,HAH_RS00170,12979.425019259468,0.1220579772321944,1,HAH_0034,CopG family transcriptional regulator
1.2834952620300468,-0.4124129995729529,0.2572217180219456,-1.1283039804790373,1,HAH_RS00200,2080.2178901956904,-0.03911827003699655,1,HAH_0041,CBS domain-containing protein
1.3690784803040483,-0.9661606695146346,0.17099720471503682,-0.5739150155044515,1,HAH_RS00295,4265.831693278448,-0.10198932978026364,1,HAH_0061,Rieske 2Fe-2S domain-containing protein
1.4802383376208232,-0.6761395874896061,-0.4594638954402993,-0.34463485469091776,1,HAH_RS00300,4548.163074760393,0.11039845355583018,1,HAH_0062,MATE family efflux transporter
1.4312488453785286,-0.8775219809048275,-0.010381217258910322,-0.5433456472147908,1,HAH_RS00305,1765.8828634169442,-0.06666869135693831,1,HAH_0063,TetR/AcrR family transcriptional regulator
1.4256250117505964,-0.8630467300438754,0.024687701524819847,-0.5872659832315423,1,HAH_RS00345,264.97219987269466,-0.01817795243571102,1,HAH_0071,ATP-binding protein
1.396545184521029,-0.33856732178745036,-0.8583070186331404,-0.199670844100438,1,HAH_RS00360,1073.1967649153762,0.4821519452341306,1,HAH_0074,SDR family oxidoreductase
